kurtosisx,kurtosisy,kurtosisz,kurtosisf,abs_kurtosisx,abs_kurtosisy,abs_kurtosisz,abs_kurtosisf,minx,miny,minz,minf,abs_minx,abs_miny,abs_minz,abs_minf,maxx,maxy,maxz,maxf,abs_maxx,abs_maxy,abs_maxz,abs_maxf,meanx,meany,meanz,meanf,abs_meanx,abs_meany,abs_meanz,abs_meanf,medianx,mediany,medianz,medianf,label
1.577055806,-1.467527865,-0.6627825,0.991509028,1.491545278,-1.510298089,-0.916740768,0.999882364,-0.003547129,-0.007091014,-0.009991117,-0.003000246,-0.005775742,-0.006486592,-0.002320619,-0.000499165,0.976387018,0.809334857,0.889247228,0.992972465,0.973248466,0.808925701,0.889986967,0.992512982,0.318243023,0.176950355,0.316833466,0.325021489,0.317510134,0.178463434,0.30870778,0.320235564,0.370549009,0.118259303,0.295777843,0.385922188,3
1.016217959,0.438119286,0.983794971,14.73255981,0.593759058,0.523262237,6.913900345,14.74551031,-0.000296475,-0.008671228,-0.008400014,-0.00106418,-0.00687692,-0.004084552,-0.006382092,-0.007164312,0.699408815,0.996359934,0.980239536,0.997888053,0.696053566,0.995294629,0.98105244,0.996621121,0.193407088,0.217658757,0.198663682,0.387906493,0.187311262,0.21576146,0.199641398,0.380771382,-0.000859565,0.00107383,-0.002944425,0.394502253,1
65.73120201,2.014805164,0.93716614,1.380555802,29.00609112,-1.424427344,3.249012118,1.400201298,0.005268844,0.006833224,0.001751294,0.001554546,0.009177924,0.00738387,0.008426068,0.008053024,1.008916208,1.002764745,1.003990227,1.00348706,1.00763696,1.009928533,1.008868088,1.003827543,0.655605343,0.21211075,0.253703005,0.462312142,0.660290075,0.21231983,0.248692611,0.471487799,0.654804482,0.011448294,0.12612816,0.433594591,4
1.107861116,-1.281787254,-1.455354662,4.4732027,1.055325638,-1.246877134,5.36195659,4.472739305,0.008432059,0.004317176,0.004727701,0.008893309,0.008307652,0.003469724,0.002098912,0.007279901,0.811216798,1.003561274,0.995389635,1.002258954,0.813609163,1.009653872,0.993042354,1.005711495,0.277895774,0.367833774,0.387246248,0.279565041,0.27735756,0.374040069,0.385200496,0.287475299,0.313530249,0.252666227,0.154049171,0.075168225,2
2.007349357,-0.343004713,0.317885412,1.376355759,4.596092111,-0.347836419,2.141530192,2.316820404,0.003860049,0.000624238,0.002648317,0.001493519,0.007015652,0.006884915,0.007425951,0.00151822,0.735034408,0.863723166,1.002235337,1.007332708,0.733599997,0.857596742,1.003399502,1.00682221,0.285652879,0.265571638,0.302316929,0.420629128,0.28978156,0.26510102,0.305679047,0.418433649,0.343401672,0.222350934,0.247803791,0.407252149,3
4.73324337,2.70075012,7.580624776,4.752353862,5.649167734,3.212876835,7.578465231,4.769267299,0.008040629,0.00703212,0.007005178,0.004746056,0.003556051,0.006307476,0.000852678,0.003832844,0.960460419,1.007844009,0.641026921,1.000989021,0.960364403,1.005677097,0.644192729,1.000989589,0.30330534,0.333223625,0.166102134,0.209977925,0.310159376,0.328350145,0.163985448,0.207503396,0.363077914,0.33267022,0.190530819,0.013247927,3
4.728055778,2.691945639,7.565234782,4.739901897,5.640857818,3.208301803,7.571087206,4.753312067,-0.009100621,-0.006183628,-0.003507457,-0.004095354,-0.008716605,-0.007773263,-0.00477883,-0.001401052,0.950308404,0.992091249,0.635117337,0.998995743,0.955331425,0.994815746,0.634899774,0.999948965,0.292957923,0.316278154,0.150700121,0.200815878,0.295168315,0.317755605,0.156376708,0.193372703,0.357642084,0.314891278,0.179963209,0.002177735,3
0.989922502,2.718574088,2.849469878,15.61893543,1.015035005,2.931434749,7.094084413,15.62058505,0.000924834,0.003532597,0.000879337,0.006705197,0.001276793,0.007979545,0.005272893,0.004366172,0.949349093,0.933104085,0.980343912,1.005559168,0.956644794,0.933063507,0.977031297,1.002844031,0.168028914,0.155418265,0.1574202,0.335000479,0.172823949,0.155559168,0.152085001,0.335197619,0.018595059,0.005891039,0.001872988,0.33827464,1
4.737968661,2.700235063,7.577043969,4.752655546,5.653051192,3.220893564,7.584490559,4.770196612,0.001778318,0.001766966,0.005354051,0.00727993,0.00489416,0.001726348,0.000975763,0.009748907,0.960540728,1.00669013,0.644728832,1.002131165,0.965661866,1.001555878,0.647077001,1.006364721,0.304353397,0.331238738,0.158363132,0.2096823,0.305344593,0.327742583,0.15937311,0.209262553,0.369629092,0.32877436,0.191984562,0.008852799,3
65.72206559,2.00022347,0.931644458,1.368922702,28.99456689,-1.436550693,3.233307388,1.391598906,-0.007988677,-0.000572793,-0.007519689,-0.005511894,-0.006382257,-0.003875107,-0.006338642,-0.0017056,0.99783429,0.999937877,0.995121215,0.991822929,0.992138662,0.999108943,0.999979045,0.993017455,0.64617166,0.200661535,0.243792401,0.460780254,0.646621538,0.196936551,0.241540431,0.452985801,0.643791979,0.00532598,0.114864384,0.427783899,4
